-2.5,-2.5,-2.5,-0.05
-2.5,-2.5,-2.4,-0.24
-2.5,-2.5,-2.3,-0.42
-2.5,-2.5,-2.19,-0.59
-2.5,-2.5,-2.09,-0.74
-2.5,-2.5,-1.99,-0.87
-2.5,-2.5,-1.89,-0.97
-2.5,-2.5,-1.79,-1.05
-2.5,-2.5,-1.68,-1.09
-2.5,-2.5,-1.58,-1.11
-2.5,-2.5,-1.48,-1.1
-2.5,-2.5,-1.38,-1.06
-2.5,-2.5,-1.28,-0.99
-2.5,-2.5,-1.17,-0.89
-2.5,-2.5,-1.07,-0.76
-2.5,-2.5,-0.97,-0.61
-2.5,-2.5,-0.87,-0.44
-2.5,-2.5,-0.77,-0.25
-2.5,-2.5,-0.66,-0.04
-2.5,-2.5,-0.56,0.17
-2.5,-2.5,-0.46,0.37
-2.5,-2.5,-0.36,0.57
-2.5,-2.5,-0.26,0.75
-2.5,-2.5,-0.15,0.9
-2.5,-2.5,-0.05,1.02
-2.5,-2.5,0.05,1.11
-2.5,-2.5,0.15,1.16
-2.5,-2.5,0.26,1.17
-2.5,-2.5,0.36,1.14
-2.5,-2.5,0.46,1.07
-2.5,-2.5,0.56,0.97
-2.5,-2.5,0.66,0.84
-2.5,-2.5,0.77,0.69
-2.5,-2.5,0.87,0.53
-2.5,-2.5,0.97,0.37
-2.5,-2.5,1.07,0.21
-2.5,-2.5,1.17,0.07
-2.5,-2.5,1.28,-0.05
-2.5,-2.5,1.38,-0.14
-2.5,-2.5,1.48,-0.2
-2.5,-2.5,1.58,-0.22
-2.5,-2.5,1.68,-0.19
-2.5,-2.5,1.79,-0.13
-2.5,-2.5,1.89,-0.03
-2.5,-2.5,1.99,0.09
-2.5,-2.5,2.09,0.25
-2.5,-2.5,2.19,0.42
-2.5,-2.5,2.3,0.61
-2.5,-2.5,2.4,0.8
-2.5,-2.5,2.5,0.98
-2.5,-2.4,-2.5,-0.16
-2.5,-2.4,-2.4,-0.36
-2.5,-2.4,-2.3,-0.55
-2.5,-2.4,-2.19,-0.72
-2.5,-2.4,-2.09,-0.87
-2.5,-2.4,-1.99,-1.0
-2.5,-2.4,-1.89,-1.1
-2.5,-2.4,-1.79,-1.17
-2.5,-2.4,-1.68,-1.21
-2.5,-2.4,-1.58,-1.22
-2.5,-2.4,-1.48,-1.2
-2.5,-2.4,-1.38,-1.15
-2.5,-2.4,-1.28,-1.07
-2.5,-2.4,-1.17,-0.96
-2.5,-2.4,-1.07,-0.82
-2.5,-2.4,-0.97,-0.66
-2.5,-2.4,-0.87,-0.48
-2.5,-2.4,-0.77,-0.29
-2.5,-2.4,-0.66,-0.08
-2.5,-2.4,-0.56,0.13
-2.5,-2.4,-0.46,0.34
-2.5,-2.4,-0.36,0.54
-2.5,-2.4,-0.26,0.72
-2.5,-2.4,-0.15,0.88
-2.5,-2.4,-0.05,1.01
-2.5,-2.4,0.05,1.1
-2.5,-2.4,0.15,1.16
-2.5,-2.4,0.26,1.17
-2.5,-2.4,0.36,1.14
-2.5,-2.4,0.46,1.08
-2.5,-2.4,0.56,0.99
-2.5,-2.4,0.66,0.86
-2.5,-2.4,0.77,0.72
-2.5,-2.4,0.87,0.56
-2.5,-2.4,0.97,0.41
-2.5,-2.4,1.07,0.25
-2.5,-2.4,1.17,0.11
-2.5,-2.4,1.28,-0.0
-2.5,-2.4,1.38,-0.09
-2.5,-2.4,1.48,-0.14
-2.5,-2.4,1.58,-0.16
-2.5,-2.4,1.68,-0.13
-2.5,-2.4,1.79,-0.07
-2.5,-2.4,1.89,0.03
-2.5,-2.4,1.99,0.16
-2.5,-2.4,2.09,0.31
-2.5,-2.4,2.19,0.48
-2.5,-2.4,2.3,0.67
-2.5,-2.4,2.4,0.86
-2.5,-2.4,2.5,1.03
-2.5,-2.3,-2.5,-0.27
-2.5,-2.3,-2.4,-0.48
-2.5,-2.3,-2.3,-0.68
-2.5,-2.3,-2.19,-0.86
-2.5,-2.3,-2.09,-1.01
-2.5,-2.3,-1.99,-1.14
-2.5,-2.3,-1.89,-1.23
-2.5,-2.3,-1.79,-1.29
-2.5,-2.3,-1.68,-1.33
-2.5,-2.3,-1.58,-1.33
-2.5,-2.3,-1.48,-1.3
-2.5,-2.3,-1.38,-1.24
-2.5,-2.3,-1.28,-1.15
-2.5,-2.3,-1.17,-1.03
-2.5,-2.3,-1.07,-0.88
-2.5,-2.3,-0.97,-0.72
-2.5,-2.3,-0.87,-0.53
-2.5,-2.3,-0.77,-0.33
-2.5,-2.3,-0.66,-0.12
-2.5,-2.3,-0.56,0.09
-2.5,-2.3,-0.46,0.3
-2.5,-2.3,-0.36,0.5
-2.5,-2.3,-0.26,0.68
-2.5,-2.3,-0.15,0.84
-2.5,-2.3,-0.05,0.97
-2.5,-2.3,0.05,1.07
-2.5,-2.3,0.15,1.13
-2.5,-2.3,0.26,1.15
-2.5,-2.3,0.36,1.13
-2.5,-2.3,0.46,1.08
-2.5,-2.3,0.56,0.99
-2.5,-2.3,0.66,0.88
-2.5,-2.3,0.77,0.74
-2.5,-2.3,0.87,0.59
-2.5,-2.3,0.97,0.44
-2.5,-2.3,1.07,0.3
-2.5,-2.3,1.17,0.17
-2.5,-2.3,1.28,0.06
-2.5,-2.3,1.38,-0.03
